QA/QC Sample Name,Definition,Purpose,Minimum Guidance,Best Guidance
Trip Blank,"Closed container of laboratory-grade water (or a matched blank matrix) that travels to the field location(s), remaining closed, that undergoes extraction & preparation alongside samples",Identifies contaminants introduced from sampling containers,Prepare a trip blank for each sample collection trip,Prepare a trip blank for every n samples or sites*
Field Blank,"Container of laboratory-grade water (or a matched blank matrix) that travels to the field location(s), is opened during sampling, that undergoes extraction & preparation alongside samples",Identifies contaminants introduced during the act of sampling,Prepare a field blank for each day of sample collection,Prepare a field blank for every n samples or sites*
Equipment Blank,"Container of laboratory-grade water (or a matched blank matrix) that is processed through the same equipment used during sampling, that undergoes extraction & preparation alongside samples","Identifies contaminants introduced by specific tools or steps in sampling (e.g., pumps)",Prepare an equipment blank for each sampling process involving tools that may affect sample collection,Prepare an equipment blank for every n samples*
Method Blank,"Laboratory-grade water (or a matched blank matrix) that undergoes extraction & preparation alongside samples, spiked with internal standards used in the study",Identifies compounds introduced during sample preparation and measures the extraction efficiency of the sample preparation method without matrix,Prepare a method blank for each set of prepared samples,Prepare a method blank for every n samples^
Method Spike,"Laboratory-grade water (or a matched blank matrix) that undergoes extraction & preparation alongside samples, spiked with internal standards and native compounds in the study",Identifies the extraction efficiency of the sample preparation method without matrix to ensure accurate qualitative and quantitative data ,Prepare a method spike for each set of prepared samples or each matched matrix,Prepare a method spike for every n samples^
Matrix Spike,"A study sample duplicate or pooled sample that undergoes extraction & preparation alongside samples, spiked with internal standards and native compounds used in the study",Identifies the extraction efficiency of the sample preparation method with matrix to ensure accurate qualitative and quantitative data ,Prepare a matrix spike for each matrix type in a set of prepared samples,Prepare a matrix spike for every n samples^ 
Duplicate Sample,"A study sample collected and/or prepared in replicate that undergoes extraction & preparation alongside samples, spiked with internal standards used in the study",Measures the reproducibility of the sample preparation method within a single sample matrix,Prepare one duplicate sample for each set of prepared samples,Prepare a duplicate sample for every n samples^
Solvent Blank,"Diluent used to prepare final sample extracts, not spiked with any native or internal standards used in the study","Identifies any presence of native or isotopically-labeled compounds present in the diluent or the instrument, due to carryover or contamination of mobile phases",Inject a solvent blank at the start and end of each analytical batch,Inject a solvent blank every n injections and before and after any samples containing spiked native compounds%
Laboratory Blank,"Diluent used to prepare final sample extracts, spiked with internal standards used in the study",Measures the response of isotopically-labeled compounds in the same solvent composition as samples (excluding matrix). Can be used to ensure instrument performance is stable across injections/batches ,Prepare a laboratory blank for each set of samples and prepare a new laboratory blank if multiple diluents are used for a single batch of samples. Inject at the start of each analytical batch and at least two more times during the batch,Inject a laboratory blank near the start of each analytical batch and every n injections within the batch%
Control or System Suitability Mixture,"Diluent used to prepare final sample extracts, spiked with native and internal standards used in the study",Measures the response of both native and isotopically-labeled compounds in the same solvent composition as samples (excluding matrix). Can be used to ensure accurate quantification  ,Prepare a control for each set of samples and prepare a new control if multiple diluents are used for a single batch of samples. Inject at the start of each analytical batch and at least two more times during the batch,Inject a control near the start of each analytical batch and every n injections within the batch. If producing quantitative data using a calibration curve inject both a low concentration and mid-range concentration calibrant%
Analytical batches,"A set of study and QA/QC samples analyzed together on an instrument. Small studies may have few enough samples that all study and QA/QC samples can be analyzed within a single analytical batch. However, it is common for studies to require multiple analytical batches spread across days, months, and sometimes years for large studies",The use of analytical batches ensures that instrument/signal drift is minimized and an instrument has sufficient “down time’ where calibration and routine maintenance can be performed,Use QA/QC samples to track instrument and method performance over time and between batches,"Perform instrument calibration before and throughout each batch to ensure mass accuracy. Limit the number of runs per analytical batch to prevent drifting sensitivity due to poor chromatographic, ion source, or mass spectrometer performance. Spread replicate injections across analytical batches"
Analytical replicates ,Study and QA/QC samples injected in replicate to measure analytical variability,These can be helpful in NTA studies to use for QA/QC filtering (described in Data Processing),Acquire a certain percentage or number of samples in duplicate or triplicate  ,Acquire each study and QA/QC sample in triplicate
Randomization,The order of study samples is randomized within and across analytical batches,Instruments may have drifting sensitivity or performance across an analytical batch. Randomizing the order of which samples are injected can be helpful to minimize performance effects for entire groups of similar study or QA/QC samples,Ensure instrument performance can be monitored using a combination of native and internal standards across study and QA/QC samples ,Randomize the order of all study and QA/QC samples within and across analytical batches
Blanks and System Suitability Mixtures,"Instrument performance within and across analytical batches can be assessed using blanks (solvent, laboratory, or method blanks) and system suitability mixtures",The performance of native and internal standards for the instrumental methods can be validated prior to a study and each analytical batch can be compared to original performance,Inject a blank containing internal standards and system suitability mixture at least in triplicate for each analytical batch to track instrument and method performance,"Inject a blank containing internal standards and a system suitability mixture every n samples to track instrument and method performance. If quantitative data is generated with a calibration curve, consider running both a low-range (near the method reporting limit) and a mid-range concentration%"
